Order ID,Order Date,Customer ID,Customer Name,Region,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100000,2025-02-03,CUST-1545,Customer 293,West,Rajasthan,Office Supplies,Binders,Ring Binder,540.64,1,0.25,109.81
ORD-100001,2025-06-20,CUST-1557,Customer 538,South,Tamil Nadu,Furniture,Bookcases,Steel Shelf,27519.64,2,0.0,1779.91
ORD-100002,2025-11-29,CUST-1323,Customer 29,East,West Bengal,Technology,Accessories,Wireless Mouse,5339.74,4,0.15,840.19
ORD-100003,2025-11-26,CUST-1300,Customer 85,North,Haryana,Office Supplies,Storage,Drawer Organizer,2532.74,2,0.05,237.01
ORD-100004,2024-04-24,CUST-1282,Customer 524,South,Karnataka,Furniture,Chairs,Visitor Chair,24961.72,4,0.15,6026.25
ORD-100005,2023-06-03,CUST-1306,Customer 459,South,Andhra Pradesh,Furniture,Chairs,Mesh Chair,14697.33,1,0.0,2982.32
ORD-100006,2023-06-03,CUST-1051,Customer 498,West,Rajasthan,Furniture,Tables,Office Desk,14623.65,1,0.1,2632.32
ORD-100007,2023-11-30,CUST-1645,Customer 555,East,Bihar,Furniture,Tables,Compact Desk,8621.28,1,0.1,1241.13
ORD-100008,2023-11-18,CUST-1265,Customer 265,South,Andhra Pradesh,Technology,Phones,Pixel Edge,148076.68,3,0.1,30028.78
ORD-100009,2023-04-09,CUST-1609,Customer 100,West,Gujarat,Technology,Phones,ProPhone X,69065.39,3,0.1,11412.39
ORD-100010,2023-11-27,CUST-1220,Customer 626,East,Odisha,Technology,Laptops,UltraBook 14,118485.17,3,0.05,9140.11
ORD-100011,2025-11-28,CUST-1051,Customer 63,West,Gujarat,Technology,Accessories,Webcam HD,7577.3,3,0.15,853.32
ORD-100012,2023-12-02,CUST-1320,Customer 468,West,Maharashtra,Technology,Laptops,WorkMate 13,198492.14,2,0.0,44553.45
ORD-100013,2024-12-13,CUST-1122,Customer 215,South,Karnataka,Furniture,Tables,Office Desk,4827.87,1,0.05,789.93
ORD-100014,2023-07-06,CUST-1191,Customer 15,North,Haryana,Furniture,Chairs,Visitor Chair,28355.34,4,0.1,5271.56
ORD-100015,2023-04-01,CUST-1352,Customer 308,West,Gujarat,Office Supplies,Binders,Ring Binder,1536.07,2,0.1,278.79
ORD-100016,2024-04-26,CUST-1196,Customer 361,South,Andhra Pradesh,Furniture,Chairs,Visitor Chair,13931.92,1,,1146.0
ORD-100017,2024-12-23,CUST-1633,Customer 150,North,Haryana,Technology,Accessories,Wireless Mouse,2786.07,3,0.15,726.28
ORD-100018,2025-06-28,CUST-1404,Customer 335,North,Delhi,Technology,Laptops,ProBook 15,303432.25,3,0.05,35474.6
ORD-100019,2023-02-19,CUST-1145,Customer 581,South,Andhra Pradesh,Technology,Accessories,USB-C Hub,8106.34,2,0.25,1205.67
ORD-100020,2024-12-26,CUST-1003,Customer 609,South,Karnataka,Office Supplies,Paper,Premium Paper,1893.58,2,0.0,208.99
